Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Maruti,2022,Celerio ZXI,Manual,11147,2nd,Petrol,MH47-BF3889,9540,488000,0,Seawood,Mumbai
Honda,2020,City 1.5L I-VTEC ZX,Manual,44722,1st,Petrol,MH46-BQ5934,17492,919000,0,Goregaon,Mumbai
Ford,2017,Ecosport TREND 1.5L DIESEL,Manual,55356,1st,Diesel,MH04-LT4021,11583,592000,0,Mulund West,Mumbai
Honda,2017,City 1.5L I-VTEC V MT,Manual,38411,1st,Petrol,MH47-Q7458,13411,686000,0,Mulund West,Mumbai
Honda,2021,City 1.5L I-VTEC ZX CVT,Automatic,22500,1st,Petrol,MH05-ER2424,22955,1206000,0,Mulund West,Mumbai
Honda,2015,City 1.5L I-VTEC V MT,Manual,76749,2nd,Petrol,MH01-BY4993,8817,451000,0,Mulund West,Mumbai
Hyundai,2016,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,76719,1st,Petrol,MH05-CV1582,7410,379000,0,Seawood,Mumbai
Maruti,2017,Swift ZXI,Manual,29424,1st,Petrol,MH16-BY5614,9756,499000,0,Mulund West,Mumbai
Skoda,2015,Rapid 1.5 TDI CR STYLE PLUS AT,Manual,35375,2nd,Diesel,MH02-DZ9473,11389,512000,0,Mulund West,Mumbai
Tata,2020,ALTROZ XZ PETROL,Manual,47992,1st,Petrol,MH43-BU3448,13060,668000,0,Mulund West,Mumbai
Maruti,2020,S Cross ALPHA AT SMART HYBRID,Manual,29624,1st,Petrol,MH40-CA1570,19529,1026000,0,Mulund West,Mumbai
Jeep,2019,Compass SPORT 1.4 PETROL,Manual,10405,1st,Petrol,MH01-DE9218,21642,1137000,0,Goregaon,Mumbai
Jeep,2017,Compass LIMITED 1.4 PETROL AT,Automatic,21921,2nd,Petrol,MH02-EU0783,18863,991000,0,Mulund West,Mumbai
Hyundai,2019,Creta SX 1.6 PETROL,Manual,60529,1st,Petrol,MH46-BQ2733,16579,871000,0,Goregaon,Mumbai
Maruti,2016,Celerio VXI CNG,Manual,91598,1st,CNG,MH47-Q1924,7919,356000,0,Seawood,Mumbai
Maruti,2015,Wagon R 1.0 LXI CNG,Manual,78600,1st,CNG,MH46-AL8618,8479,322000,0,Goregaon,Mumbai
Honda,2017,Jazz 1.2L I-VTEC V,Manual,55248,1st,Petrol,MH01-CP7353,8661,443000,0,Goregaon,Mumbai
Hyundai,2018,NEW SANTRO SPORTZ AMT,Automatic,19642,1st,Petrol,MH43-BN4028,9365,479000,0,Goregaon,Mumbai
Honda,2016,City 1.5L I-VTEC SV,Manual,83615,1st,Petrol,MH04-HM4965,10870,556000,0,Mulund West,Mumbai
Maruti,2016,Alto 800 LXI,Manual,45935,2nd,Petrol,MH01-CH3724,4907,250999,0,Mulund West,Mumbai
Honda,2015,Jazz 1.2L I-VTEC V AT,Automatic,33907,1st,Petrol,MH02-DZ8685,9208,471000,0,Seawood,Mumbai
Maruti,2020,S Cross ALPHA 1.5 SMART HYBRID,Manual,52649,1st,Petrol,MH40-CA1557,17238,906000,0,Mulund West,Mumbai
